Nº,Categoria,Item a Verificar,Norma(s),Tipo,Conformidade,Observações
45,5. Transformadores,Comprimento do circuito de BT a partir do TR não excede 400 m?,NT 005,Geral,,
46,5. Transformadores,"Carregamento do TR ≤ 112,5 kVA — havendo atingimento do máximo, estudo de subdivisão realizado?",NT 005 / NT 0018,Geral,,
47,5. Transformadores,"Em rede trifásica, apenas TR bifásico ou trifásico instalado?",NT 006,Geral,,
48,5. Transformadores,Ramal exclusivo de até 150 m com apenas um TR: chave fusível suprimida somente se visível e de livre acesso?,NT 005,Geral,,
49,5. Transformadores,Não é permitida derivação de poste de transformador?,NT 006,Geral,,
50,5. Transformadores,Circuitos duplos instalados em dois níveis?,NT 006,Geral,,
51,6. Estruturas para Equipamentos e Religadores,Religador instalado entre duas estruturas CE4 (rede compacta) ou N4 (rede convencional)?,NT 007,Geral,,
52,6. Estruturas para Equipamentos e Religadores,"Poste de instalação do religador com mínimo 600 daN e 12 m, com ancoragem (e postes adjacentes também)?",NT 007 / NT 006,Geral,,
53,6. Estruturas para Equipamentos e Religadores,Religador monofásico NÃO instalado em rede trifásica?,NT 007,Geral,,
54,6. Estruturas para Equipamentos e Religadores,"Em circuito duplo, equipamentos preferencialmente conectados ao circuito inferior?",NT 0018,Geral,,
55,7. Chaves de Manobra e Proteção,Chaves seccionadoras faca ou fusível instaladas a cada 5 km em linhas rurais?,NT 005 / NT 006,Rural,,
56,7. Chaves de Manobra e Proteção,Uso de chaves fusíveis limitado a no máximo 3 em série (coordenação/seletividade)?,NT 005,Rural,,
57,7. Chaves de Manobra e Proteção,Chaves sem carga instaladas a intervalos máximos de 3 km ao longo do tronco do alimentador (RDC)?,NT 0018,Geral,,
58,7. Chaves de Manobra e Proteção,Chaves com carga instaladas nos pontos de interligação de alimentadores?,NT 0018,Geral,,
59,8. Condutores,"Trecho tronco em MT: alumínio 336 MCM/4/0 AWG (nu) ou protegido 185/150 mm² XLPE+HDPE, conforme carga?",NT 005,Geral,,
60,8. Condutores,Trecho de ramal em MT: alumínio nu mínimo 1/0 AWG (ou CAL em zona de alta corrosividade)?,NT 005,Geral,,
61,8. Condutores,"Condutores de BT rural: 1x35+1x35 mm², fase CA, isolação XLPE preta, neutro nu CAL?",NT 005,Rural,,
62,8. Condutores,Cabos de alumínio com alma (CAA) recomendados para MT rural em zonas de corrosão C2/C3?,NT 006,Rural,,
63,9. Padronização de Materiais por Zona de Corrosão,Zona C2 (> 10 km da orla) e C3 (5–10 km): cabo CA/CAA/RDC e poste de concreto duplo T?,NT 006 / NT 008,Geral,,
64,9. Padronização de Materiais por Zona de Corrosão,Zona C4 (2–5 km da orla): cabo CAL e poste de concreto duplo T?,NT 006 / NT 008,Geral,,
65,9. Padronização de Materiais por Zona de Corrosão,Zona C5 (< 2 km da orla): cabo CAL e poste de fibra de vidro?,NT 008,Geral,,
66,9. Padronização de Materiais por Zona de Corrosão,Cruzetas de fibra de vidro especificadas em todas as zonas de corrosão (C2 a C5)?,NT 008,Geral,,
67,9. Padronização de Materiais por Zona de Corrosão,"Postes de fibra utilizados em áreas de difícil acesso, quando aplicável?",NT 005 / NT 008,Geral,,
68,"10. Aterramentos, Cercas e Estais","Estais previstos em postes de ancoragem, encabeçamento, ângulo ou derivação, com preferência por estai de âncora?",NT 006,Geral,,
69,"10. Aterramentos, Cercas e Estais",Estais NÃO utilizados em áreas agricultáveis?,NT 006,Rural,,
70,"10. Aterramentos, Cercas e Estais","Cercas paralelas à rede rural (≤ 30 m): seccionadas e aterradas a cada 250 m, com seccionador pré-formado em cruzamentos transversais?",NT 005 / NT 006,Rural,,
71,"10. Aterramentos, Cercas e Estais","Ao redor de pontos de instalação de TR, cercas seccionadas em trecho de 20 m?",NT 006,Rural,,
72,"10. Aterramentos, Cercas e Estais",Cercas a mais de 30 m da rede rural corretamente dispensadas de aterramento?,NT 006,Rural,,
