Nº,Categoria,Item a Verificar,Norma(s),Tipo,Conformidade,Observações
49,6. Estruturas para Equipamentos e Religadores,"Poste de instalação do religador com mínimo 600 daN e 12 m, com ancoragem (e postes adjacentes também)?",NT 007 / NT 006,Geral,,
50,6. Estruturas para Equipamentos e Religadores,Religador monofásico NÃO instalado em rede trifásica?,NT 007,Geral,,
51,6. Estruturas para Equipamentos e Religadores,Equipamentos não instalados em postes próximos de esquina?,NT 0018,Urbano,,
52,6. Estruturas para Equipamentos e Religadores,"Em circuito duplo, equipamentos preferencialmente conectados ao circuito inferior?",NT 0018,Geral,,
53,7. Chaves de Manobra e Proteção,Chaves sem carga instaladas a intervalos máximos de 3 km ao longo do tronco do alimentador (RDC)?,NT 0018,Geral,,
54,7. Chaves de Manobra e Proteção,Chaves com carga instaladas nos pontos de interligação de alimentadores?,NT 0018,Geral,,
55,8. Condutores,"Trecho tronco em MT: alumínio 336 MCM/4/0 AWG (nu) ou protegido 185/150 mm² XLPE+HDPE, conforme carga?",NT 005,Geral,,
56,8. Condutores,Trecho de ramal em MT: alumínio nu mínimo 1/0 AWG (ou CAL em zona de alta corrosividade)?,NT 005,Geral,,
57,8. Condutores,"Condutores de BT urbano: 3x35+1x35, 3x70+1x70 ou 3x120+1x70 mm², fases CA/XLPE, neutro nu CAL?",NT 005,Urbano,,
58,9. Padronização de Materiais por Zona de Corrosão,Zona C2 (> 10 km da orla) e C3 (5–10 km): cabo CA/CAA/RDC e poste de concreto duplo T?,NT 006 / NT 008,Geral,,
59,9. Padronização de Materiais por Zona de Corrosão,Zona C4 (2–5 km da orla): cabo CAL e poste de concreto duplo T?,NT 006 / NT 008,Geral,,
60,9. Padronização de Materiais por Zona de Corrosão,Zona C5 (< 2 km da orla): cabo CAL e poste de fibra de vidro?,NT 008,Geral,,
61,9. Padronização de Materiais por Zona de Corrosão,Cruzetas de fibra de vidro especificadas em todas as zonas de corrosão (C2 a C5)?,NT 008,Geral,,
62,9. Padronização de Materiais por Zona de Corrosão,"Postes de fibra utilizados em áreas de difícil acesso, quando aplicável?",NT 005 / NT 008,Geral,,
63,"10. Aterramentos, Cercas e Estais","Estais previstos em postes de ancoragem, encabeçamento, ângulo ou derivação, com preferência por estai de âncora?",NT 006,Geral,,
64,"10. Aterramentos, Cercas e Estais",Estais NÃO utilizados em zona urbana?,NT 006,Urbano,,
